race,track,lap_length_m,laps,pit_time_s,compounds,tyre_delta
Bahrain_GP, Bahrain International Circuit, 5412, 57  
Saudi_Arabia_GP, Jeddah Street Circuit, 6174, 50  
Australia_GP, Albert Park Circuit, 5278, 58  
Japan_GP, Suzuka International Racing Course, 5807, 53  
China_GP, Shanghai International Circuit, 5451, 56  
Miami_GP, Miami International Autodrome, 5412, 57  
Emilia_Romagna_GP, Imola (Autodromo Enzo e Dino Ferrari), 4909, 63  
Monaco_GP, Circuit de Monaco, 3337, 78  
Canada_GP, Circuit Gilles Villeneuve, 4361, 70  
Spain_GP, Circuit de Barcelona-Catalunya, 4657, 66  
Austria_GP, Red Bull Ring, 4318, 71  
United_Kingdom_GP, Silverstone Circuit, 5891, 52  
Hungary_GP, Hungaroring, 4381, 70  
Belgium_GP, Circuit de Spa-Francorchamps, 7004, 44  
Netherlands_GP, Circuit Zandvoort, 4259, 72  
Italy_GP, Monza (Autodromo Nazionale Monza), 5793, 53  
Azerbaijan_GP, Baku City Circuit, 6003, 51  
Singapore_GP, Marina Bay Street Circuit, 5419, 62  
USA_GP, Circuit of the Americas, 5513, 56  
Mexico_GP, Autódromo Hermanos Rodríguez, 4304, 71  
Brazil_GP, Interlagos (Autódromo José Carlos Pace), 4309, 71  
Las_Vegas_GP, Las Vegas Strip Circuit, 6201, 50  
Qatar_GP, Lusail International Circuit, 5419, 57  
Abu_Dhabi_GP, Yas Marina Circuit, 5281, 58
